,group,subgroup,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20
C60.pi8,CAT,C60,0.181500556,0.002684541,0.014848454,0.002514549,0.420563392,0.0014097,0.000708814,0.046185418,0.001437461,0.004174554,0.009831046,0.000647425,0.004161139,0.006897643,0.003876725,0.186453705,0.068718986,0.002708355,0.006103301,0.034574238
C60.pi9,CAT,C60,0.060074082,0.036764265,0.013486924,0.017057229,0.007071977,0.014246981,0.012748698,0.034356447,0.030585903,0.020457135,0.099455113,0.021236709,0.031816594,0.114090793,0.029762822,0.05057927,0.03393684,0.231280886,0.11924917,0.021742164
C60.pi10,CAT,C60,0.070839451,0.047409849,0.04168223,0.032448292,0.013164127,0.04948747,0.050826439,0.01833092,0.05672727,0.065036908,0.128225556,0.034361839,0.039036293,0.059435956,0.013560821,0.05513432,0.064226036,0.013711838,0.067393429,0.078960957
C60.pi11,CAT,C60,0.061768937,0.007633289,0.030308165,0.343023419,0.000719984,0.030785624,0.379250941,0.028465869,0.007959212,0.001699963,0.003994534,0.021607688,0.001973433,0.000981419,0.017479141,0.033783194,0.020342659,0.000613027,0.001710275,0.00589923
C60.pi12,CAT,C60,0.042155954,0.104206831,0.028698087,0.016438524,0.004445033,0.139369085,0.053194907,0.013471121,0.0177765,0.026772773,0.196723778,0.132373524,0.118282752,0.008672832,0.005183788,0.025585272,0.033329202,0.004585233,0.00702815,0.021706655
C60.pi13,CAT,C60,0.281480993,0.010036707,0.017286778,0.006438573,0.025833751,0.013310193,0.011504641,0.027005493,0.005462966,0.018821609,0.019099346,0.009871284,0.015871959,0.005048171,0.012951003,0.18868086,0.242710498,0.001227463,0.003605292,0.083752421
C60.pi14,CAT,C60,0.276918832,0.0017227,0.002131527,0.001167255,0.031829265,0.001821625,0.002475247,0.019964689,0.000517086,0.098310901,0.048926433,0.001623216,0.017341495,0.007084391,0.007017971,0.033634895,0.08141414,0.000711814,0.003294232,0.362092288
C60.pi15,CAT,C60,0.157779779,0.111214027,0.057040324,0.064829047,0.005331808,0.106537368,0.091358695,0.090620972,0.053380964,0.002917163,0.015622557,0.078214871,0.004575897,0.002504782,0.006707784,0.092931005,0.03931226,0.002857582,0.007759027,0.00850409
C60.pi16,CAT,C60,0.059373514,0.035474077,0.115117531,0.218948271,0.001533217,0.06887524,0.181942291,0.08137071,0.022047829,0.002099358,0.005619126,0.075017208,0.002187174,0.001083832,0.010973742,0.072644946,0.038023827,0.000734646,0.002666488,0.004266973
C60.pi17,CAT,C60,0.097806633,0.026557644,0.010184351,0.012078143,0.00641384,0.030787645,0.029128295,0.01289128,0.012803672,0.072390421,0.127943895,0.024563066,0.030326731,0.019896372,0.272352407,0.035054944,0.048455734,0.004684247,0.010477383,0.1152033
C60.pi18,CAT,C60,0.012402339,0.003068035,0.000923911,0.000603732,0.00418857,0.003295744,0.0012524,0.001130679,0.00135421,0.234416785,0.45505577,0.001671818,0.066730767,0.061061537,0.003707617,0.001942093,0.006761294,0.003893718,0.007491177,0.129047806
C60.pi19,CAT,C60,0.079423062,0.129473936,0.066279273,0.058723624,0.00199195,0.114388059,0.124690064,0.032543231,0.023860537,0.003627715,0.009798796,0.214759732,0.004184621,0.001286995,0.014241024,0.061580739,0.047733359,0.000652537,0.002942023,0.007818723
C60.pi20,CAT,C60,0.024814878,0.008355291,0.188891539,0.4278833,0.002783972,0.021077773,0.14323863,0.064396844,0.018573687,0.002250694,0.003455863,0.01792741,0.00157145,0.001468035,0.007376804,0.037700313,0.018776797,0.000589186,0.004260271,0.004607266
