G000019745	.04
G000019785	.02
G000019845	.04
G000019905	.03
G000019965	.12
G000020005	.05
G000020025	.12
G000020045	.04
G000020125	.06
G000020145	.10
G000020205	.02
G000020225	.08
G000020325	.08
G000020365	.10
G000020385	.03
G000020465	.04
G000020485	.10
G000020505	.03
G000020525	.02
G000020545	.03
G000020565	.12
G000020585	.04
G000020605	.11
G000020625	.03
G000020645	.03
G000020665	.02
G000020685	.08
G000020725	.05
G000020785	.14
G000020945	.20
G000020965	.06
G000020985	.07
G000021305	.13
G000021325	.02
G000021385	.08
G000021485	.02
G000021545	.08
G000021565	.10
G000021645	.06
G000021685	.09
G000021705	.02
G000021725	.08
G000021745	.02
G000021805	.10
G000021825	.12
G000021865	.02
G000021925	.09
G000021945	.08
G000021985	.01
G000022025	.05
G000022045	.11
G000022065	.04
G000022085	.04
G000022125	.08
G000022145	.08
G000022265	.03
G000022325	.05
G000022525	.20
G000022565	.04
G000022605	.20
G000022905	.04
G000023025	.02
G000023065	.01
G000023105	.05
G000023125	.04
G000023145	.04
G000023185	.09
G000023205	.05
G000023225	.07
G000023245	.05
G000023265	.12
G000023285	.02
G000023325	.09
G000023405	.05
G000023445	.06
G000023465	.02
G000023585	.08
G000023645	.04
G000023705	.02
G000023725	.04
G000023785	.02
G000023825	.03
G000023845	.05
G000023865	.04
G000023885	.07
G000023905	.05
G000023925	.03
G000024005	.02
G000024025	.08
G000024065	.03
G000024085	.01
G000024105	.08
G000024125	.02
G000024165	.06
G000024205	.06
G000024225	.05
G000024265	.07
G000024285	.04
G000024325	.06
G000024345	.08
G000024365	.06
G000024385	.07
G000024405	.04
G000024425	.08
G000024465	.02
G000024505	.07
G000024525	.02
G000024545	.06
G000024565	.05
G000024605	.06
G000024725	.03
G000024765	.02
G000024785	.05
G000024805	.11
G000024845	.02
G000024865	.09
G000024885	.08
G000024905	.09
G000024925	.06
G000024945	.05
G000024965	.04
G000024985	.09
G000025005	.07
G000025125	.13
G000025185	.15
G000025225	.05
G000025265	.12
G000025305	.05
G000025345	.05
G000025485	.03
G000025545	.04
G000025565	.01
G000025605	.14
G000025705	.02
G000025725	.04
G000025845	.26
G000025885	.08
G000025905	.10
G000025925	.04
G000025945	.10
G000025965	.02
G000025985	.04
G000026005	.12
G000026105	.04
G000026125	.03
G000026145	.04
G000026185	.02
G000026205	.30
G000026225	.01
G000026765	.32
G000026985	.05
G000027065	.02
G000027145	.10
G000027165	.03
G000027225	.03
G000027325	.29
G000043285	.20
G000046705	.02
G000055945	.06
G000058485	.07
G000060285	.10
G000060345	.02
G000062885	.07
G000063505	.10
G000063525	.10
G000063605	.28
G000067165	.16
G000067205	.02
G000069185	.04
G000069225	.05
G000069785	.01
G000069925	.30
G000069945	.06
G000085865	.29
G000090965	.26
G000091165	.04
G000091305	.07
G000091325	.03
G000091545	.10
G000092025	.03
G000092045	.03
G000092105	.13
G000092125	.08
G000092205	.07
G000092225	.03
G000092245	.08
G000092285	.07
G000092365	.07
G000092405	.06
G000092425	.08
G000092505	.06
G000092645	.05
G000092785	.07
G000092825	.04
G000092845	.06
G000092865	.03
G000092905	.03
G000092925	.03
G000092985	.06
G000093025	.02
G000093085	.03
G000143085	.01
G000143145	.03
G000143165	.14
G000143625	.02
G000143685	.04
G000143765	.02
G000143825	.05
G000143845	.05
G000143885	.03
G000143965	.07
G000143985	.12
G000144405	.03
G000144605	.02
G000144625	.09
G000144645	.05
G000144695	.08
G000145035	.12
G000145215	.04
G000145235	.08
G000145255	.01
G000145275	.09
G000145615	.03
G000146065	.09
G000146165	.01
G000146185	.14
G000146285	.09
G000146325	.04
G000146345	.06
G000146505	.12
G000146585	.03
G000146675	.04
G000146855	.09
G000147015	.63
G000147075	.11
G000147335	.13
G000147355	.06
G000147675	.07
G000147695	.07
G000147715	.08
G000147815	.05
G000148525	.03
G000148545	.04
G000148585	.03
G000148645	.03
G000148685	.03
G000148725	.05
G000148995	.08
G000152145	.09
G000152625	.03
G000152705	.05
G000152725	.02
G000152745	.02
G000152785	.02
G000152805	.03
G000152825	.02
G000152845	.03
G000152865	.03
G000152885	.07
G000152905	.04
G000152945	.03
G000152965	.02
G000152985	.02
G000153025	.07
G000153045	.15
G000153105	.14
G000153125	.03
G000153145	.06
G000153165	.03
G000153185	.06
G000153205	.04
G000153225	.05
G000153285	.10
G000153305	.03
G000153325	.08
G000153345	.05
G000153385	.02
G000153405	.01
G000153445	.01
G000153465	.04
G000153485	.02
G000153545	.04
G000153705	.02
G000153725	.06
G000153745	.03
G000153765	.04
G000153805	.10
